幣別名稱,幣別代碼,現金買入,現金賣出,即期買入,即期賣出
美金,(USD),31.245,31.915,31.57,31.72
港幣,(HKD),3.884,4.088,4.005,4.075
英鎊,(GBP),41.36,43.48,42.255,42.885
澳幣,(AUD),22.25,23.03,22.465,22.81
加拿大幣,(CAD),22.55,23.46,22.88,23.21
新加坡幣,(SGD),24.18,25.09,24.65,24.87
瑞士法郎,(CHF),39.38,40.58,39.99,40.38
日圓,(JPY),0.1901,0.2029,0.1969,0.2019
南非幣,(ZAR),-,-,1.876,1.966
瑞典幣,(SEK),-,-,3.34,3.46
紐元,(NZD),18.1,18.95,18.43,18.73
泰幣,(THB),0.8433,1.0333,0.9537,0.9997
菲國比索,(PHP),0.4487,0.5807,-,-
印尼幣,(IDR),0.00138,0.00208,-,-
歐元,(EUR),35.97,37.31,36.485,37.085
韓元,(KRW),0.01937,0.02327,-,-
越南盾,(VND),0.00096,0.00137,-,-
馬來幣,(MYR),6.95,8.475,-,-
人民幣,(CNY),4.556,4.718,4.623,4.683
